Time,Latitude,Longitude
2023-08-14 12:04:50-04:00,29.646123,-82.349718
2023-08-14 12:04:51-04:00,29.646115,-82.349711
2023-08-14 12:04:52-04:00,29.646108,-82.349703
2023-08-14 12:04:53-04:00,29.646103,-82.34969
2023-08-14 12:04:54-04:00,29.646098,-82.349681
2023-08-14 12:04:55-04:00,29.646095,-82.349676
2023-08-14 12:04:56-04:00,29.646095,-82.349676
2023-08-14 12:04:57-04:00,29.646095,-82.349678
2023-08-14 12:04:58-04:00,29.646095,-82.34968
2023-08-14 12:04:59-04:00,29.646091,-82.349678
2023-08-14 12:05:00-04:00,29.646088,-82.349676
2023-08-14 12:05:01-04:00,29.646086,-82.349675
2023-08-14 12:05:02-04:00,29.646081,-82.349665
2023-08-14 12:05:03-04:00,29.646083,-82.349656
2023-08-14 12:05:04-04:00,29.646086,-82.349643
2023-08-14 12:05:05-04:00,29.646091,-82.34963
2023-08-14 12:05:06-04:00,29.646098,-82.349616
2023-08-14 12:05:07-04:00,29.646105,-82.349608
2023-08-14 12:05:08-04:00,29.646113,-82.349598
2023-08-14 12:05:09-04:00,29.646125,-82.349593
2023-08-14 12:05:10-04:00,29.646125,-82.349599
2023-08-14 12:05:11-04:00,29.646131,-82.349603
2023-08-14 12:05:12-04:00,29.64614,-82.349613
2023-08-14 12:05:13-04:00,29.646148,-82.34962
2023-08-14 12:05:14-04:00,29.646151,-82.349618
2023-08-14 12:05:15-04:00,29.646151,-82.349615
2023-08-14 12:05:16-04:00,29.646155,-82.349608
2023-08-14 12:05:17-04:00,29.646156,-82.349595
2023-08-14 12:05:18-04:00,29.646156,-82.349583
2023-08-14 12:05:19-04:00,29.646153,-82.349573
2023-08-14 12:05:20-04:00,29.646156,-82.349563
2023-08-14 12:05:21-04:00,29.646158,-82.349553
2023-08-14 12:05:22-04:00,29.64616,-82.349541
2023-08-14 12:05:23-04:00,29.64616,-82.349533
2023-08-14 12:05:24-04:00,29.646158,-82.349523
2023-08-14 12:05:25-04:00,29.646158,-82.349511
2023-08-14 12:05:26-04:00,29.646158,-82.349498
2023-08-14 12:05:27-04:00,29.646158,-82.349485
2023-08-14 12:05:28-04:00,29.646158,-82.349471
2023-08-14 12:05:29-04:00,29.646156,-82.34946
2023-08-14 12:05:30-04:00,29.646155,-82.349448
2023-08-14 12:05:31-04:00,29.646155,-82.349435
